OrderID,OrderDate,Category,Product,Region,Channel,PaymentMethod,Quantity,UnitPrice,DiscountPct,GrossSales,NetSales,Profit
103780,2024-02-20,beauty,Face Wash,West,Online,Credit Card,1,673.25,0.0,673.25,673.25,249.52
106339,2023-12-22,Apparel,T-Shirt,South,Online,Credit Card,2,3150.27,0.0,10080.86,10080.86,2603.98
110471,2023-07-23,Groceries,Rice 5kg,South,Online,Net Banking,1,512.68,5.0,512.68,487.05,147.84
110108,2024-06-13,Electronics,Laptop,West,Online,UPI,2,36423.46,0.0,72846.92,72846.92,19378.74
100631,2023-09-20,Electronics,Smartphone,North,In-Store,Credit Card,1,1185.19,0.0,1185.19,1185.19,282.39
101470,2024-11-23,Groceries,Cooking Oil 1L,East,In-Store,Credit Card,1,197.22,0.0,197.22,197.22,49.39
100037,2024-06-02,Electronics,Headphones,West,Online,Credit Card,2,44125.05,5.0,88250.1,83837.6,31480.4
105094,2023-08-14, Groceries ,Cooking Oil 1L,East,In-Store,UPI,1,837.73,0.0,837.73,837.73,219.14
111800,2024-02-02,Groceries,Tea Box,East,Marketplace,Net Banking,1,46.78,0.0,46.78,46.78,12.85
111298,2023-11-13,Groceries,Tea Box,North,Online,UPI,1,823.88,0.0,823.88,823.88,196.84
106617,2024-02-29,Apparel,Cap,East,Online,Debit Card,2,1289.18,0.0,2578.36,2578.36,915.12
105992,2023-10-05,Apparel,Jacket,West,Online,Debit Card,1,3489.63,0.0,5583.41,5583.41,2423.62
106309,2023-01-05,Apparel,Sneakers,East,Online,Credit Card,1,3389.05,0.0,3389.05,3389.05,1338.01
103161,2023-02-25,Electronics,Laptop,South,Online,Credit Card,1,24490.08,0.0,24490.08,24490.08,7932.1
102272,2023-10-21,Home & Kitchen,Vacuum Cleaner,West,Online,Debit Card,1,11141.15,0.0,11141.15,11141.15,4470.54
102257,2024-04-17,Apparel,Jacket,North,Marketplace,Cash,1,432.37,20.0,432.37,345.9,83.35
108617,2023-05-04,Electronics,Smartwatch,North,Online,Net Banking,1,11762.42,0.0,11762.42,11762.42,4090.77
104083,2023-01-13,Electronics,Smartphone,South,In-Store,Net Banking,2,12543.15,0.0,25086.3,25086.3,8930.13
100752,2024-01-18,Groceries,Cooking Oil 1L,West,Online,Cash,2,108.05,0.0,216.1,216.1,49.3
105279,2023-03-24, Apparel ,Cap,West,In-Store,UPI,2,491.52,0.0,983.04,983.04,221.48
107337,2023-11-05,Electronics,Smartphone,West,Online,Debit Card,1,27965.44,0.0,44744.7,44744.7,10783.88
107092,2023-03-01,Electronics,Smartwatch,West,Online,Debit Card,2,12611.07,0.0,25222.14,25222.14,6740.23
106757,2024-09-11,Home & Kitchen,Blender,South,Online,Credit Card,3,10148.09,0.0,30444.27,30444.27,11778.82
100069,2023-07-05, Groceries ,Coffee Jar,East,Online,Cash,1,622.75,10.0,622.75,560.48,64.86
107918,2023-12-02,Apparel,T-Shirt,East,Online,Credit Card,2,1930.09,5.0,6176.29,5867.47,2236.94
102420,2024-05-25,Beauty,Lipstick,West,Online,UPI,2,1136.07,10.0,2953.78,2658.4,548.28
107460,2023-12-24,Apparel,Sneakers,West,Online,,1,2031.43,0.0,3250.29,3250.29,869.9
106707,2023-09-05,Apparel,Jeans,North,Online,Debit Card,1,2078.03,0.0,2078.03,2078.03,725.02
108646,2023-11-08,Beauty,Perfume,East,Online,Net Banking,2,2381.15,0.0,4762.3,4762.3,1806.32
108142,2023-10-17,Home & Kitchen,Cookware Set,East,In-Store,Credit Card,4,1307.78,0.0,5231.12,5231.12,1930.05
108754,2023-01-15,Apparel,Jacket,South,Online,Credit Card,1,1837.72,5.0,1837.72,1745.83,524.73
108424,2024-03-30,Beauty,Perfume,East,Online,Credit Card,4,1779.87,0.0,7119.48,7119.48,3037.58
101728,2023-11-20,Groceries,Snack Pack,East,Online,Credit Card,1,891.53,0.0,891.53,891.53,178.73
109843,2024-08-27,Home & Kitchen,Table Lamp,North,Marketplace,Net Banking,2,11802.4,0.0,23604.8,23604.8,6420.58
111624,2023-04-19,Apparel,T-Shirt,East,Online,Cash,1,3370.65,0.0,3370.65,3370.65,863.96
109352,2023-03-04,Apparel,Cap,East,In-Store,UPI,3,1549.95,0.0,4649.85,4649.85,1544.65
103651,2024-02-12,Apparel,T-Shirt,North,Online,Cash,1,1920.27,0.0,1920.27,1920.27,708.99
101291,2023-10-30,beauty,Perfume,West,Marketplace,Cash,1,956.94,0.0,956.94,956.94,201.7
111188,2024-04-22,Home & Kitchen,Table Lamp,West,Marketplace,Credit Card,1,7618.22,0.0,7618.22,7618.22,2529.55
107827,2023-04-22,Apparel,Jacket,West,Online,Cash,1,1311.51,0.0,1311.51,1311.51,494.19
109483,2023-10-10,Home & Kitchen,Air Purifier,East,Online,Credit Card,1,9025.32,0.0,9025.32,9025.32,3995.66
101298,2023-02-04,Beauty,Shampoo,North,Online,Credit Card,1,1772.3,10.0,1772.3,1595.07,343.36
101985,2023-11-29,Home & Kitchen,Vacuum Cleaner,East,Online,Credit Card,1,10999.65,0.0,10999.65,10999.65,4821.55
100413,2023-06-27,Groceries,Snack Pack,East,Online,UPI,1,176.8,0.0,176.8,176.8,79.15
106028,2024-02-21,Groceries,Cooking Oil 1L,South,In-Store,UPI,1,267.54,5.0,267.54,254.16,51.14
102584,2023-12-12,Beauty,Perfume,West,Online,Debit Card,1,1448.67,0.0,1448.67,1448.67,516.42
106875,2024-07-15,Home & Kitchen,Table Lamp,North,Online,UPI,1,9246.1,0.0,9246.1,9246.1,2904.77
